ensembl_gene_id,gene_symbol,gene_type,gene_set,symbol_mapping_count,n_samples,zero_n,below_0_1_tpm_n,all_zero,near_zero_expression,near_zero_log_variance,mean_tpm,median_tpm,max_tpm,mean_log2_tpm1,sd_log2_tpm1,p05_log2_tpm1,p95_log2_tpm1
ENSG00000287376.1,AL359538.3,lncRNA,other,1,113,40,59,False,False,False,0.35304690265486727,0.0936,5.8071,0.31169501492041013,0.5021439756479769,0.0,1.3959749451762327
ENSG00000287377.1,AC090948.4,lncRNA,other,1,113,17,43,False,False,False,0.1725663716814159,0.1499,0.8024,0.21806653278741286,0.17921205111604022,0.0,0.49915734887737967
ENSG00000287378.1,AC129803.1,lncRNA,other,1,113,11,52,False,False,False,0.16151061946902656,0.1149,1.2957,0.1992292752869804,0.20651054714251785,0.0,0.5400568018767054
ENSG00000287379.1,AC006144.2,lncRNA,other,1,113,58,77,False,False,False,0.1100141592920354,0.0,0.7918,0.1358332146982287,0.19775536876564492,0.0,0.5927151932246878
ENSG00000287380.1,AL589935.3,lncRNA,other,1,113,95,112,False,True,False,0.0070106194690265486,0.0,0.1264,0.009830456512313242,0.02649262560865124,0.0,0.05616694602155683
ENSG00000287381.1,AC012433.2,lncRNA,other,1,113,57,95,False,False,False,0.08744070796460178,0.0,1.8878,0.09866235447037258,0.22515298003082745,0.0,0.40934436944813124
ENSG00000287382.1,AC110611.2,lncRNA,other,1,113,0,1,False,False,False,2.238838938053097,1.9046,5.7795,1.5836220020415666,0.5663357907621528,0.7216436615649042,2.6020337601984997
ENSG00000287383.1,AC110809.1,lncRNA,other,1,113,84,108,False,True,False,0.013705309734513274,0.0,0.2223,0.018819096216975358,0.047666114456518145,0.0,0.0961231035542525
ENSG00000287384.1,AL096840.2,lncRNA,other,1,113,13,23,False,False,False,0.4536477876106195,0.3213,2.0947,0.48030075146998474,0.39682600579154687,0.0,1.2702990231647944
ENSG00000287385.1,AL121820.3,lncRNA,other,1,113,1,2,False,False,False,1.5787486725663715,0.8735,29.6396,1.0585107301461887,0.7898640952116482,0.1687471930123457,2.495834065608679
ENSG00000287386.1,AC009248.3,lncRNA,other,1,113,52,60,False,False,False,0.13529734513274336,0.0892,0.8914,0.16605779022620906,0.21363449697356154,0.0,0.6673270003308326
ENSG00000287387.1,AC010883.3,lncRNA,other,1,113,0,24,False,False,False,0.21423185840707962,0.1801,0.6933,0.27164945497722126,0.15323967306388978,0.07631006159031786,0.6041796918124984
ENSG00000287388.1,AC068774.1,lncRNA,other,1,113,24,32,False,False,False,2.5567769911504423,0.2513,40.5682,0.9339765001480503,1.2843736123806218,0.0,3.876038468777186
ENSG00000287389.1,AC007106.2,lncRNA,other,1,113,86,110,False,True,False,0.018647787610619467,0.0,0.6845,0.022406556495389907,0.10289527528221772,0.0,0.03815515997760132
ENSG00000287390.1,AC006525.1,lncRNA,other,1,113,53,98,False,False,False,0.060304424778761065,0.0156,1.2428,0.07489477776003722,0.15366565539656168,0.0,0.3892704298922922
ENSG00000287391.1,AC103871.1,lncRNA,other,1,113,84,110,False,True,False,0.018013274336283185,0.0,0.4697,0.023588573090568117,0.07519528354631554,0.0,0.08510294494141077
ENSG00000287392.1,AC097520.2,lncRNA,other,1,113,97,104,False,True,False,0.03783097345132743,0.0,0.9616,0.04412113197891426,0.1526528785502284,0.0,0.25543018183451116
ENSG00000287393.1,AL591468.1,lncRNA,other,1,113,99,113,False,True,False,0.004761946902654867,0.0,0.0718,0.006730959053589693,0.018709360873597418,0.0,0.05402495298084816
ENSG00000287394.1,AC244102.4,lncRNA,other,1,113,57,65,False,False,False,2.963514159292035,0.0,46.1437,0.8399643797396682,1.4764543190379351,0.0,4.174129290882017
ENSG00000287395.1,AL118511.3,lncRNA,other,1,113,103,110,False,True,False,0.008736283185840708,0.0,0.326,0.011702887600205176,0.04778771135999119,0.0,0.08458061966482441
ENSG00000287396.1,AL592464.3,lncRNA,other,1,113,103,107,False,True,False,0.28483539823008847,0.0,25.7637,0.0831771253383992,0.5066793568740117,0.0,0.13541042239580228
ENSG00000287397.1,AP002528.1,lncRNA,other,1,113,107,108,False,True,False,0.02440884955752212,0.0,1.2207,0.0260326653152218,0.1422620483080727,0.0,0.049042585060415346
ENSG00000287398.1,AC117481.1,lncRNA,other,1,113,111,113,False,True,False,0.0010061946902654867,0.0,0.0657,0.0014109742132127222,0.010633692305219536,0.0,0.0
ENSG00000287399.1,AC011503.4,lncRNA,other,1,113,59,105,False,True,False,0.02971858407079646,0.0,0.5098,0.0401469678269251,0.07495541411285307,0.0,0.15547092386186556
ENSG00000287400.1,AC093151.7,lncRNA,other,1,113,63,106,False,True,False,0.018475221238938053,0.0,0.1465,0.025624569791613757,0.04703045742692259,0.0,0.1622098980710651
ENSG00000287401.1,AC034139.1,lncRNA,other,1,113,6,14,False,False,False,0.48254070796460174,0.3403,2.8029,0.5090801908469312,0.387603205581504,0.02154323024527679,1.379034551978615
ENSG00000287402.1,AL158167.1,lncRNA,other,1,113,7,28,False,False,False,0.30722300884955744,0.2309,3.854,0.34460095374362054,0.31064754536652284,0.0,0.9063823024986698
ENSG00000287403.1,AC016245.2,lncRNA,other,1,113,33,102,False,True,False,0.04774513274336283,0.0243,0.5103,0.0636920196052509,0.09782972962204714,0.0,0.21680720639246687
ENSG00000287404.1,AL451080.1,lncRNA,other,1,113,38,47,False,False,False,0.33579646017699116,0.1133,11.5231,0.2869154186139374,0.46168053330465786,0.0,0.8876446532006991
ENSG00000287405.1,AC017028.2,lncRNA,other,1,113,12,75,False,False,False,0.16105929203539823,0.0572,1.6515,0.18498396782726367,0.27271783629460256,0.0,0.9073704304128413
ENSG00000287406.1,AC098656.1,lncRNA,other,1,113,95,106,False,True,False,0.03618495575221239,0.0,1.0519,0.04080206998485122,0.15740528460870737,0.0,0.15820333121865482
ENSG00000287407.1,AL596442.3,lncRNA,other,1,113,32,40,False,False,False,3.0072274336283185,0.4849,23.6054,1.2506300100811698,1.3772525602466184,0.0,3.883064003730628
ENSG00000287408.1,AC027811.1,lncRNA,other,1,113,5,46,False,False,False,0.17468318584070797,0.131,1.3262,0.2168146101079714,0.20012989813266072,0.021565005675091894,0.6548562984015904
ENSG00000287409.1,AC004936.1,lncRNA,other,1,113,81,86,False,False,False,0.17088230088495573,0.0,1.8731,0.17251553035818182,0.36267426416751597,0.0,1.0874526204148365
ENSG00000287410.1,AL161941.1,lncRNA,other,1,113,98,111,False,True,False,0.03657964601769911,0.0,2.3862,0.030185013613753645,0.20594668616272618,0.0,0.024659360423863543
ENSG00000287411.1,AL031259.1,lncRNA,other,1,113,87,109,False,True,False,0.013534513274336284,0.0,0.3425,0.018375890066289226,0.052535753253723304,0.0,0.07855146061364122
ENSG00000287412.1,AP001591.1,lncRNA,other,1,113,79,79,False,False,False,0.09147256637168141,0.0,0.8635,0.11034627196245762,0.20409953209817372,0.0,0.5536160208620647
ENSG00000287413.1,AL449363.2,lncRNA,other,1,113,78,111,False,True,False,0.016480530973451327,0.0,0.6495,0.021532064201977542,0.07153173657778246,0.0,0.073517884296282
