donor_sample_id,cell_class,subtype,n_cells,library_counts,HORMAD1,HORMAD2,STAG3,REC8,SMC1B,SYCP2,SYCP3,MSH4,MSH5,candidate_mean_z,HORMAD1_log2cpm1,HORMAD1_z,HORMAD2_log2cpm1,HORMAD2_z,STAG3_log2cpm1,STAG3_z,REC8_log2cpm1,REC8_z,SMC1B_log2cpm1,SMC1B_z,SYCP2_log2cpm1,SYCP2_z,SYCP3_log2cpm1,SYCP3_z,MSH4_log2cpm1,MSH4_z,MSH5_log2cpm1,MSH5_z,eligible
CID4471,immune,ER+,1076.0,4495561.0,0.0,0.0,35.0,25.0,0.0,3.0,5.0,0.0,3.0,-0.12928627592419079,0.0,-0.5785266577233207,0.0,-0.22755448660827807,3.1351174488142024,1.009764165810285,2.713924783553339,0.29706728732677107,0.0,-0.5716899148887299,0.7375352991627114,-1.052220111738575,1.0787520771097985,0.4303098319447789,0.0,-0.33706024511619076,0.7375352991627114,-0.13366635232445775,True
CID4471,malignant_epithelial,ER+,212.0,2680361.0,0.0,0.0,3.0,4.0,0.0,33.0,1.0,0.0,3.0,-0.2747871548645469,0.0,-0.5785266577233207,0.0,-0.22755448660827807,1.0835552984589316,-0.6151899733776939,1.31749874582612,-1.0708499119029755,0.0,-0.5716899148887299,3.734630986075092,1.0284580054303554,0.45741996381727784,-0.4382112951664034,0.0,-0.33706024511619076,1.0835552984589316,0.33754008557231446,True
CID4471,normal_epithelial,ER+,1966.0,18889175.0,1.0,0.0,13.0,40.0,4.0,166.0,25.0,1.0,20.0,-0.05735706616401835,0.07442374240937182,-0.5323324937938597,0.0,-0.22755448660827807,0.7555070820996415,-0.8750228558150849,1.640442770194929,-0.7544989750201596,0.27710577219966903,-0.2788956974190966,3.291029162116409,0.7204956631275891,1.2163054593856688,0.6225870634870494,0.07442374240937182,0.5283178615686701,1.0418089373479482,0.2806903249970051,True
CID4471,stromal,ER+,5355.0,34258525.0,2.0,0.0,35.0,144.0,2.0,86.0,7.0,2.0,25.0,-0.2662309059786562,0.0818571997565628,-0.5277186120386262,0.0,-0.22755448660827807,1.0155286252036708,-0.6690709753557144,2.3794361308075884,-0.030592587723108175,0.0818571997565628,-0.48519833964392206,1.8116042260801244,-0.30656767150218484,0.2682292079707566,-0.7026691671989691,0.0818571997565628,0.614751989133112,0.7905596791624011,-0.06145830287021467,True
CID4495,immune,TNBC,6194.0,36579820.0,5.0,3.0,617.0,399.0,12.0,38.0,24.0,0.0,67.0,0.2607491044151719,0.18483553678132678,-0.46380086176561375,0.11371707538376871,0.3306469049566289,4.159243558284824,1.820930408249776,3.573817235828925,1.139404541987294,0.4093091684807479,-0.1392075572057815,1.0277373391718778,-0.8507527255481429,0.7277893155110268,-0.060278963896698914,0.0,-0.33706024511619076,1.5016230754012214,0.9068604380752763,True
CID4495,malignant_epithelial,TNBC,1184.0,12747048.0,60.0,1.0,20.0,13.0,72.0,79.0,4.0,0.0,62.0,0.41406584585166795,2.512725524059905,0.9811000287404819,0.10895866979865344,0.30728938709682035,1.3612016779268492,-0.39527821809949254,1.014243849059258,-1.3679136860167787,2.7329999335488613,2.3160398156612656,2.847498557305117,0.41258276339755934,0.39374363223572334,-0.5272204387344908,0.0,-0.33706024511619076,2.551853421718729,2.337053205735837,True
CID4495,stromal,TNBC,607.0,4515279.0,2.0,0.0,13.0,30.0,0.0,23.0,6.0,0.0,2.0,-0.03804954325988498,0.5290118249282568,-0.2501736594698766,0.0,-0.22755448660827807,1.9557269289493624,0.0756196620029985,2.934348106187152,0.5129905414025159,0.0,-0.5716899148887299,2.607345917420179,0.24586124537231616,1.2196000893541445,0.6271924197408435,0.0,-0.33706024511619076,0.5290118249282568,-0.41763145177456357,True
CID44971,immune,TNBC,5467.0,21159529.0,0.0,0.0,256.0,524.0,11.0,60.0,7.0,0.0,58.0,0.3727352887519407,0.0,-0.5785266577233207,0.0,-0.22755448660827807,3.711337190374219,1.4661630392090903,4.687299045499411,2.230153981862216,0.6039387631639798,0.0664410636055061,1.9394529784283685,-0.2178110453857901,0.41231568929366214,-0.5012597269289186,0.0,-0.33706024511619076,1.9034555141852274,1.454071675853152,True
CID44971,malignant_epithelial,TNBC,894.0,17082834.0,13.0,0.0,51.0,17.0,32.0,599.0,8.0,1.0,56.0,0.3908474545434587,0.8163931503798505,-0.07179859220767165,0.0,-0.22755448660827807,1.9947437571972833,0.1065232134983633,0.9964979668067314,-1.3852972759047517,1.5226712169981305,1.0371878934135048,5.172505098731129,2.026675451243447,0.5541530268084732,-0.3029942234898325,0.08207346492717703,0.6172666590197536,2.0969852453970725,1.7176184519265933,True
CID44971,normal_epithelial,TNBC,735.0,9250581.0,0.0,0.0,5.0,13.0,0.0,102.0,3.0,0.0,13.0,-0.3126300163218771,0.0,-0.5785266577233207,0.0,-0.22755448660827807,0.6234048547981264,-0.9796553481879703,1.2662271230177,-1.1210747951242939,0.0,-0.5716899148887299,3.5881250806399305,0.9267489966702782,0.40523428782892557,-0.5111583731603009,0.0,-0.33706024511619076,1.2662271230177,0.5863006772419117,True
