dependency,depmap_column,N,beta,se,ci_low,ci_high,p,N_adjusted,beta_adjusted,se_adjusted,ci_low_adjusted,ci_high_adjusted,p_adjusted,fdr,fdr_adjusted,stronger_dependency_high_signature,annotation
OTOF,OTOF (9381),25,-0.014911937990641574,0.047775724668165764,-0.11374355441872737,0.08391967843744423,0.7577585584443114,25,-0.008277901072825987,0.052834860609940984,-0.11785069553824527,0.1012948933925933,0.8769299110178841,0.9996683886512429,0.9961651794429218,True,
LUC7L,LUC7L (55692),25,-0.013003415310919817,0.04903868194417636,-0.11444765791965905,0.08844082729781941,0.7932433029934252,25,0.008309804678182809,0.05307395611143179,-0.10175884350843528,0.11837845286480089,0.8770114517605163,0.9996683886512429,0.9961651794429218,False,
TMPRSS11E,TMPRSS11E (28983),25,-0.031166606813125882,0.04202161961328683,-0.1180949500282857,0.055761736402033926,0.46578770138573555,25,-0.0069863054986223595,0.04463074104166623,-0.09954479734553233,0.0855721863482876,0.87703837028083,0.9996683886512429,0.9961651794429218,True,
FSD1,FSD1 (79187),25,-0.003152057331400263,0.04832052108388841,-0.10311067101099973,0.0968065563481992,0.9485527496434994,25,0.008325956515839455,0.05318965114125346,-0.10198262847721613,0.11863454150889503,0.8770401888718209,0.9996683886512429,0.9961651794429218,False,
ZSCAN22,ZSCAN22 (342945),25,-0.04505770769591081,0.04202875439386554,-0.13200081032921346,0.04188539493739183,0.29480989702366545,25,-0.006484336160256416,0.04144363608869827,-0.09243317688062264,0.07946450456010981,0.8770961308760584,0.9996683886512429,0.9961651794429218,True,
OMP,OMP (4975),25,0.002173154160216691,0.03793497637242726,-0.07630132341367143,0.08064763173410483,0.9548119218111847,25,0.006565516359421774,0.04198271676279256,-0.08050130925237614,0.0936323419712197,0.8771548509318643,0.9996683886512429,0.9961651794429218,False,
GRIK5,GRIK5 (2901),25,0.011794888388568757,0.05420972980417375,-0.10034648172959515,0.12393625850673268,0.8296759865254402,25,0.009390263592485442,0.06007927818188197,-0.11520653336803284,0.13398706055300372,0.8772236209929047,0.9996683886512429,0.9961651794429218,False,
ASB18,ASB18 (401036),25,0.012753430426230828,0.04596062099540962,-0.08232335797550844,0.10783021882797009,0.7838858314075172,25,-0.007753551526635868,0.04967669418259288,-0.11077670969441929,0.09526960664114754,0.8773931155449798,0.9996683886512429,0.9961651794429218,True,
RIPPLY1,RIPPLY1 (92129),25,-0.024271831021416067,0.04522841474420837,-0.11783393538921146,0.06929027334637931,0.5966626854347252,25,-0.007692020487869314,0.049295822098068195,-0.10992529829724051,0.0945412573215019,0.8774260504629235,0.9996683886512429,0.9961651794429218,True,
RAB15,RAB15 (376267),25,0.0020049573297198707,0.057104658371522836,-0.11612502880091023,0.12013494346034996,0.9722947896462356,25,0.009848172671320885,0.06315494603846919,-0.1211271690227917,0.14082351436543347,0.8775049528054772,0.9996683886512429,0.9961651794429218,False,
FYN,FYN (2534),25,0.007884021366450169,0.04816416535538485,-0.0917511458454478,0.10751918857834813,0.8714046111546113,25,0.008318276474199785,0.053391612529465525,-0.1024091508026253,0.11904570375102488,0.877613411844583,0.9996683886512429,0.9961651794429218,False,
TRIM9,TRIM9 (114088),25,0.016574874605520876,0.0644263551153359,-0.11670119521537842,0.14985094442642016,0.7992591375971059,25,0.011112030498379994,0.0713558672018222,-0.13687098072841447,0.15909504172517447,0.8776683295734843,0.9996683886512429,0.9961651794429218,False,
KAT2B,KAT2B (8850),25,0.017247015650082447,0.054122822697880664,-0.09471457342124878,0.12920860472141368,0.7528568296614256,25,0.009315596190355373,0.05983772349486405,-0.11478024701033046,0.13341143939104122,0.8777041161295203,0.9996683886512429,0.9961651794429218,False,
DCLK1,DCLK1 (9201),25,-0.025743664067306028,0.04788574351938538,-0.12480287182925687,0.0733155436946448,0.5960130040072673,25,-0.008124176531161847,0.0521853978836289,-0.116350067739875,0.1001017146775513,0.8777055791092796,0.9996683886512429,0.9961651794429218,True,
