gene,domain,endpoint,N,effect,effect_measure,ci_low,ci_high,p,fdr,support,note
SYCP3,METABRIC,OS,258.0,0.0789597110464472,log hazard ratio per predictor SD,-0.0871150462620213,0.24503446835491569,0.35140960846068325,0.5090180437201879,does_not_support,Gene-weighted CNA proxy is not HRD scar
SYCP3,METABRIC,RFS,258.0,0.02511528623048175,log hazard ratio per predictor SD,-0.16449983325697298,0.2147304057179365,0.7951683839810658,0.8945644319786991,does_not_support,Gene-weighted CNA proxy is not HRD scar
SYCP3,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
SYCP3,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
SYCP3,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
SYCP3,single_cell,malignant_vs_nonmalignant_combined,8.0,-0.21935098568401729,paired mean difference in log2(CPM+1),-0.4959615963791328,0.047611199290229646,0.296875,0.4453125,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
SYCP3,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
SYCP3,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
MSH4,TCGA_HRD,HRD_total,103.0,5.473456553344552,linear regression coefficient per predictor unit,1.2090829833563372,9.737830123332769,0.0124011419857447,0.0372034259572343,supports,Frozen TCGA discovery; not external replication
MSH4,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH4,METABRIC,altered_gene_fraction,258.0,-0.007099969339554052,linear regression coefficient per predictor unit,-0.035968910725640735,0.021768972046532633,0.6285733979374042,0.8653891904958417,does_not_support,Gene-weighted CNA proxy is not HRD scar
MSH4,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
MSH4,METABRIC,OS,258.0,-0.11631405689518559,log hazard ratio per predictor SD,-0.30131993188218265,0.06869181809181146,0.21786000446843845,0.4901850100539865,does_not_support,Gene-weighted CNA proxy is not HRD scar
MSH4,METABRIC,RFS,258.0,-0.0747004480306152,log hazard ratio per predictor SD,-0.28870256918258363,0.13930167312135322,0.4938785733443709,0.7361799327185438,does_not_support,Gene-weighted CNA proxy is not HRD scar
MSH4,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
MSH4,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
MSH4,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
MSH4,single_cell,malignant_vs_nonmalignant_combined,8.0,-0.02727736378447435,paired mean difference in log2(CPM+1),-0.07799859879313037,0.018053361197331124,0.625,0.625,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
MSH4,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
MSH4,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
MSH5,TCGA_HRD,HRD_total,103.0,5.145265743065035,linear regression coefficient per predictor unit,0.9203158621685334,9.370215623961537,0.0174950397404512,0.0393638394160153,supports,Frozen TCGA discovery; not external replication
MSH5,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
MSH5,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
