patient_id,sample_id,expression_sample_id,predictor_role,n_genes_scored,predictor_status,candidate_mean_z,candidate_median_z,HORMAD1_z,STAG3_z,REC8_z
TCGA-D8-A143,TCGA-D8-A143-01,TCGA-D8-A143-01A|be002264-f534-49b3-90d1-fd5a3f622fb2,expression_predictor,9,complete,-0.6839647798503229,-0.7027148651720143,-1.273339483631316,-0.7027148651720143,-1.1648800896317097
TCGA-D8-A147,TCGA-D8-A147-01,TCGA-D8-A147-01A|abefed1d-9f40-4a97-9435-4d9df47f7ebd,expression_predictor,9,complete,0.7371532450998147,0.7433086809826215,-0.5242257899712561,0.7433086809826215,0.5205862801471648
TCGA-D8-A1JF,TCGA-D8-A1JF-01,TCGA-D8-A1JF-01A|7300d49e-2e8c-42e0-873a-1674a19b71e6,expression_predictor,9,complete,-0.4936642754862389,-0.49077785116332284,-1.2287275892487637,-0.006240850610093561,-1.374350528387362
TCGA-D8-A1JL,TCGA-D8-A1JL-01,TCGA-D8-A1JL-01A|5fe2671d-4314-444b-adc1-64bbc6a85aab,expression_predictor,9,complete,-0.1676463515834134,-0.22949040235525284,0.6903193586767187,-0.17471343420358695,-0.008506984938704583
TCGA-D8-A1XK,TCGA-D8-A1XK-01,TCGA-D8-A1XK-01A|7d496f9f-8a04-496a-ad25-68b1b72f864a,expression_predictor,9,complete,0.029710684110751978,-0.3386588134254426,-1.1874035439146882,-0.20677970374582896,-0.37180667638337817
TCGA-D8-A1XQ,TCGA-D8-A1XQ-01,TCGA-D8-A1XQ-01A|ec7b77d4-41a2-4892-be79-23cb24f986d3,expression_predictor,9,complete,0.19435368504933392,-0.1478418297207591,1.8923568177132928,-0.363760216494098,-0.1478418297207591
TCGA-D8-A27F,TCGA-D8-A27F-01,TCGA-D8-A27F-01A|ac88a5c1-caae-4b08-87bc-0dedbe61d996,expression_predictor,9,complete,0.6086138741629952,0.2524211169035074,0.763042319134815,2.527203884982126,-1.2572681667706787
TCGA-D8-A27H,TCGA-D8-A27H-01,TCGA-D8-A27H-01A|427a04c9-9b48-49de-8a47-2adc4e1dd32a,expression_predictor,9,complete,-0.14287798991972941,-0.19032263116129516,-1.2913035908515047,0.08925506668581294,-0.4352741748684891
TCGA-D8-A27M,TCGA-D8-A27M-01,TCGA-D8-A27M-01A|b3b9ae66-e8d1-4a32-a2a9-46931b753527,expression_predictor,9,complete,0.5262356874893754,0.08930309525473624,0.7906600414834198,0.5911564830835552,0.34021434818316426
TCGA-E2-A14N,TCGA-E2-A14N-01,TCGA-E2-A14N-01A|0648c6fc-df6d-450a-a5a0-e5655febbdf1,expression_predictor,9,complete,-0.5334287514791929,-0.4375099354743524,0.051998544943942404,-0.9905468950154701,0.40441813304506874
TCGA-E2-A14R,TCGA-E2-A14R-01,TCGA-E2-A14R-01A|6e8e0eef-1fc8-446c-9038-3a06657784ec,expression_predictor,9,complete,1.2487582085378632,1.1596308497233125,1.1796356382260282,0.032500744316307235,1.6578741493623375
TCGA-E2-A14X,TCGA-E2-A14X-01,TCGA-E2-A14X-01A|ada5cdcf-f9e0-4209-aa92-ac3b921bbdf4,expression_predictor,9,complete,-0.2790019274011051,-0.4225432844337868,-1.1800408304249559,-0.4225432844337868,-0.6038370800143482
TCGA-E2-A150,TCGA-E2-A150-01,TCGA-E2-A150-01A|7860a938-e43a-4c3a-83b4-6578cea95df8,expression_predictor,9,complete,0.18259181134804775,0.43782821045227527,0.7867791839188741,-0.4700916286316193,-0.09850264064303073
TCGA-E2-A158,TCGA-E2-A158-01,TCGA-E2-A158-01A|27f4c9d4-d6ba-4fea-9f0b-fb06066e69a8,expression_predictor,9,complete,1.288714214386268,0.9629865897556288,0.1815830405452375,2.266293574267359,-0.8844384283410512
TCGA-E2-A1L7,TCGA-E2-A1L7-01,TCGA-E2-A1L7-01A|104e3cb5-c6df-422b-a55f-6b19408594d4,expression_predictor,9,complete,-0.14169814591659444,-0.0600072230934873,-1.1878726550750605,-0.28153063840212317,1.0358291753434818
TCGA-E2-A1LH,TCGA-E2-A1LH-01,TCGA-E2-A1LH-01A|e99a371e-14fa-46f7-89c1-ad36bcd82994,expression_predictor,9,complete,-0.32936800619203926,-0.33051070135864263,0.6520357035813452,-0.9132302954510597,0.2541204688352988
TCGA-E2-A1LL,TCGA-E2-A1LL-01,TCGA-E2-A1LL-01A|1b98fd3e-d3e3-4ecc-9fe3-02600177efed,expression_predictor,9,complete,-0.8310680046704169,-0.6606573620895168,-1.3204975210462855,-0.3452870169179703,-1.9012691142021672
TCGA-E2-A1LS,TCGA-E2-A1LS-01,TCGA-E2-A1LS-01A|5755f322-5df5-4b88-9c79-640167775c12,expression_predictor,9,complete,-0.7342526133453172,-0.6694660017256662,-0.20393371918439046,-0.9041724976633305,-2.080737378669507
TCGA-E9-A5FL,TCGA-E9-A5FL-01,TCGA-E9-A5FL-01A|c1f3f326-e99f-4811-9665-d15d6d8a1c33,expression_predictor,9,complete,-0.8807406301295887,-1.0885442723157082,-0.5345325772781205,-1.0992314787526452,-0.06947085256577888
TCGA-EW-A1OV,TCGA-EW-A1OV-01,TCGA-EW-A1OV-01A|57044315-cc7f-4677-90fa-2e959740bd9c,expression_predictor,9,complete,-0.3141051953113385,-0.3705159284230549,-1.2726343781178386,-0.5381986885485637,0.4867403944243302
TCGA-EW-A1OW,TCGA-EW-A1OW-01,TCGA-EW-A1OW-01A|7b738087-65b1-4c6e-94c4-d0ba6bb17098,expression_predictor,9,complete,0.8465004106935261,0.6191742185961842,0.6191742185961842,2.532213790869599,-0.25554385927093665
TCGA-EW-A1P4,TCGA-EW-A1P4-01,TCGA-EW-A1P4-01A|86b68671-beef-4a15-aabb-89d79396fd9d,expression_predictor,9,complete,-0.5733102731201409,-0.6140982142708439,-1.2611471490142652,-0.9097477349188344,-0.7309297231219019
TCGA-EW-A1P8,TCGA-EW-A1P8-01,TCGA-EW-A1P8-01A|c15e9ead-0373-486e-a99b-26b96bd3ccc4,expression_predictor,9,complete,-0.04706065785291072,-0.433039100348924,0.285037975754177,3.211140666857259,-0.47737608342149485
TCGA-EW-A1PB,TCGA-EW-A1PB-01,TCGA-EW-A1PB-01A|2081a155-9d2d-41f6-b243-68a12e9b342a,expression_predictor,9,complete,-0.6436877050874177,-0.7138901060998162,-1.2818123027988595,-0.4537580914700053,-0.11512199415856275
TCGA-EW-A1PH,TCGA-EW-A1PH-01,TCGA-EW-A1PH-01A|67317cce-4a8c-4313-bb26-4ef7759071b9,expression_predictor,9,complete,0.3555682584407711,0.25417667686932777,0.5655895072294832,1.8363381222410995,1.1257410799914611
TCGA-EW-A3U0,TCGA-EW-A3U0-01,TCGA-EW-A3U0-01A|03a1a105-4856-4e5c-b537-508bdbda50b5,expression_predictor,9,complete,0.30288587548515483,0.3749798280759154,0.6326877286841611,0.16509258347224592,0.8738756979170691
TCGA-EW-A6SB,TCGA-EW-A6SB-01,TCGA-EW-A6SB-01A|83f2e26b-fefd-4027-ac5e-fa204ec9f084,expression_predictor,9,complete,-0.5049948145279375,-0.5502340527199349,0.6992118103397951,-1.0037809914874045,-0.029682030007660024
TCGA-GI-A2C9,TCGA-GI-A2C9-01,TCGA-GI-A2C9-01A|3e0c80d6-5091-454c-ad27-eb513cf6f45d,expression_predictor,9,complete,0.46398704914898536,0.19761308703994976,1.1449641783882707,-0.2998640558312999,-0.4540722269748082
TCGA-GM-A2DB,TCGA-GM-A2DB-01,TCGA-GM-A2DB-01A|59bb8b6d-9827-4d5c-8714-cbc8ec3b8be5,expression_predictor,9,complete,-0.5739223525387235,-0.6871303120271148,-1.3044305814193549,-0.2903959283303444,0.8418734995635547
TCGA-GM-A2DF,TCGA-GM-A2DF-01,TCGA-GM-A2DF-01A|842b0c9e-a03d-4074-b0fe-be8d0e056c7d,expression_predictor,9,complete,-0.43419296075113994,-0.33051070135864263,0.23777420642760178,-0.8368336844108741,-0.11046013159601097
