sample,CD8_T_cells,CD4_naive_T,CD4_memory_resting,CD4_memory_activated,T_follicular_helper,T_regulatory,T_gamma_delta,NK_resting,NK_activated,B_naive,B_memory,Plasma_cells,Monocytes,M0_macrophages,M1_macrophages,M2_macrophages,DC_resting,DC_activated,Mast_resting,Mast_activated,Eosinophils,Neutrophils,exhaustion_composite,GIPS_group,GIPS_scaled
TCGA-A2-A3XZ-01,0.07278182707178125,0.04941630937098589,0.04698183704865209,0.04857218405066496,0.0804411478816881,0.03745417379717266,0.0459803485806378,0.034300301507949375,0.08208759889843426,0.030315452177943337,0.07530816889523541,0.04078249343813331,0.054360746644423176,0.03865794234957602,0.022978035326863648,0.029673495056127545,0.05728162265296357,0.04691072016468755,0.0685802049390095,0.012658897185711879,0.02447649296135869,0.0,0.3701038686461646,Low,0.3125000000000001
TCGA-S3-AA17-01,0.06891826192496102,0.04363774112616597,0.05979105909946445,0.05338465955469421,0.0752392383073011,0.04594983884132766,0.05067459282701864,0.04599569531937796,0.07946311060373888,0.029008197110892354,0.0727447511715609,0.04778946448296189,0.032137699715542596,0.041208784296268605,0.026157152656832078,0.03315147241102212,0.05400718114761587,0.03956457772547398,0.05525241712449887,0.03595257730016681,0.009971527253113956,0.0,0.2966964329169363,Low,0.25
TCGA-BH-A0DG-01,0.0723644550756315,0.04758274016034478,0.05083104808695722,0.04780053133286904,0.08002132210735594,0.028958162911410328,0.037622559806020306,0.04196236087811317,0.08362969720033066,0.028334947896378016,0.07526536555133534,0.061003686755491386,0.03360479644197186,0.04037569197830035,0.025538204498566305,0.029637633787924996,0.058132872812422756,0.03877442855022063,0.05418133599273487,0.02175292340956325,0.04262523476605738,0.0,0.650527285221284,Moderate,0.375
TCGA-GM-A2DH-01,0.06975776911210313,0.047863729844368846,0.0558028846123821,0.05439883346674125,0.07421877121929421,0.043813060158218654,0.05483862953422104,0.04074676410127293,0.0805861825160169,0.03881323483098596,0.06785228709770115,0.02299642201839238,0.03109469317545868,0.028025546060171963,0.027910379569629638,0.03611894760206527,0.0514738738646891,0.04555438066189306,0.06233026158715136,0.048261077348232775,0.017542271619009484,0.0,1.2842601870489794,High,0.53125
TCGA-BH-A0BZ-01,0.0783560369381492,0.050360502816951286,0.05170213666263721,0.046895717621356636,0.0838765847428334,0.037084486054958,0.04167848671256583,0.04194685310530723,0.09409061598561923,0.03256655655598565,0.07889930789839118,0.052395258380471384,0.035238225859484905,0.02592361828272732,0.024536607686211884,0.03117515057745319,0.06105493872194408,0.03178269943786159,0.05485521183074955,0.015820191610452162,0.029760812517888917,0.0,0.17047509719317533,High,0.5625
TCGA-D8-A1XT-01,0.07448788252299905,0.05129741522962805,0.04202663730451119,0.04517713638434552,0.08601644724428772,0.03193913489882072,0.034932211232196655,0.049866625093510385,0.08581993170826838,0.03010652331401177,0.07759062263649177,0.04279357649604066,0.03441615460546952,0.03221932907283195,0.029922619029627267,0.029321345659650788,0.06598599125962222,0.026661544122398923,0.08466902262426394,0.028902549168141275,0.01584730039288224,0.0,0.1436161420594703,Low,0.28125
TCGA-C8-A1HK-01,0.08539174894384198,0.05462693803590799,0.043657772186304525,0.03451042681286764,0.09661778139829671,0.017667896831769486,0.0390064199588436,0.03362320339100245,0.09240334056762896,0.043117044163897944,0.08806228168586774,0.04205201605132172,0.04292659804639523,0.036860474214035086,0.02941204073770383,0.030071280646935684,0.05593406918781124,0.03260889965631123,0.06754235740515414,0.026829901962128342,0.007077508115974349,0.0,0.04250459938659096,High,0.59375
TCGA-LD-A9QF-01,0.07041573991637472,0.051920437878093355,0.049975931566617476,0.047371435594593655,0.08214082210902461,0.05245469944744093,0.026004268279109784,0.04687342402234933,0.08198423298677933,0.029314147659969425,0.07649067864654788,0.04271512724533789,0.046191084649698955,0.033488196863950014,0.020219006529732315,0.028370716132418802,0.06565808476059266,0.04357452163311093,0.06270854944627448,0.0072577427956767105,0.034871151836306964,0.0,1.2140419353605298,Low,0.09375
TCGA-BH-A0B4-01,0.0771284475330711,0.05163271133119432,0.03900187367432133,0.047169202199638306,0.08466614775142096,0.021570561250821744,0.0269012699408715,0.038409957418153846,0.08781500975763128,0.03636390264279816,0.08118381686452623,0.05838040521572682,0.03354178815222668,0.03181256282479925,0.024075011549365977,0.034130333938787505,0.053332389908061786,0.04133129255158881,0.06090179319873095,0.03721499652033194,0.033436525775931425,0.0,-0.3101230890895973,Moderate,0.4375
TCGA-BH-A1FN-01,0.07721418496284972,0.04261354521331449,0.037994671005035716,0.05368072535484255,0.08965902210683739,0.013900244247274141,0.041671136936614214,0.037216251398386316,0.08992717336115169,0.02696113905999394,0.08898213931944673,0.06846713407842737,0.03992596163690485,0.028563055347745323,0.03162527473116156,0.03911474425446066,0.0625789272918808,0.004863831208397232,0.07114494318039984,0.03479162113411516,0.019104274170760306,0.0,-0.11877059912461838,High,0.5625
