row_index,fitted,residual,cooks_distance,leverage,influential,outcome,PD_ID,RBA,F_expression_column
24,64.95982893961131,8.040171060388687,0.0009690165733222249,0.01745695561752897,False,scarHRD_score,PD31066a,S000938.l.r.m.c.lib.g.k2.a.t,F672
25,58.34943952354089,26.650560476459113,0.004410148128645453,0.007380249044198832,False,scarHRD_score,PD31067a,S000942.l.r.m.c.lib.g.k2.a.t,F1488
26,50.024208383059374,34.975791616940626,0.005013569254132941,0.0048956891801910304,False,scarHRD_score,PD31068a,S000948.l.r.m.c.lib.g.k2.a.t,F675
27,45.93671097761317,-6.936710977613167,0.0003176999520244871,0.007840391414064646,False,scarHRD_score,PD31072a,S000970.l.r.m.c.lib.g.k2.a.t,F1489
28,51.29901181028842,27.70098818971158,0.0029132607340410866,0.004538397859248292,False,scarHRD_score,PD31074a,S000998.l.r.m2.c.lib.g.k2.a.t,F2781
29,41.23258449027655,-26.23258449027655,0.00859168527121741,0.01462395717750271,False,scarHRD_score,PD31075a,S001008.l.r.m.c.lib.g.k2.a.t,F682
30,57.32747707550116,-16.327477075501157,0.0014468192181659166,0.006462629035395346,False,scarHRD_score,PD31078a,S001056.l.r.m.c.lib.g.k2.a.t,F701
31,47.579398016300466,1.4206019836995338,1.072046918355166e-05,0.006327328175993144,False,scarHRD_score,PD31080a,S001067.l.r.m.c.lib.g.k2.a.t,F2788
32,49.946894195856,-19.946894195855997,0.0016408317739085424,0.004925938774731702,False,scarHRD_score,PD31081a,S001083.l.r.m.c.lib.g2.k2.a.t,F1510
33,53.64232915839545,-21.642329158395448,0.001793749076213452,0.004577551771286263,False,scarHRD_score,PD31082a,S001090.l.r.m.c.lib.g.k2.a.t,F2782
34,61.73620004729809,-15.736200047298091,0.002447470056118392,0.011646802309223582,False,scarHRD_score,PD31086a,S001146.l.r.m.c.lib.g2.k2.a.t,F713
35,57.628388700457975,30.371611299542025,0.005204389042244309,0.006715008147194073,False,scarHRD_score,PD31087a,S001151.l.r.m.c.lib.g.k2.a.t,F1518
36,56.93075342860134,-52.93075342860134,0.01446676136766649,0.006152608478807818,False,scarHRD_score,PD31088a,S001152.l.r.m.c.lib.g.k2.a.t,F1524
37,54.92458647153442,-3.9245864715344183,6.423011782752017e-05,0.004980566565999666,False,scarHRD_score,PD31089a,S001164.l.r.m.c.lib.g.k2.a.t,F166
38,60.08937982958979,-45.08937982958979,0.01603388209625679,0.009336987300868817,False,scarHRD_score,PD31090a,S001171.l.r.m.c.lib.g2.k2.a.t,F1519
39,56.47732001236863,47.52267998763137,0.011042765904765403,0.005829913480959579,False,scarHRD_score,PD31092a,S001187.l.r.m.c.lib.g.k2.a.t,F154
40,63.7481377811276,2.2518622188723967,6.53143933388833e-05,0.015072944922266854,False,scarHRD_score,PD31093a,S001188.l.r.m.c.lib.g.k2.a.t,F1521
41,54.933506848406154,17.066493151593846,0.001215540844954187,0.004984315646205686,False,scarHRD_score,PD31094a,S001202.l.r.m.c.lib.g.k2.a.t,F2810
42,61.30336613798121,24.696633862018793,0.0056842478305494295,0.010996583377284328,False,scarHRD_score,PD31097a,S001380.l.r.m.c.lib.g.k2.a.t,F740
43,42.44587266823699,-34.44587266823699,0.012635585801504551,0.012526693063811649,False,scarHRD_score,PD31098a,S001381.l.r.m.c.lib.g.k2.a.t,F741
44,57.302664170669956,35.697335829330044,0.006894043998684874,0.006442481474459248,False,scarHRD_score,PD31099a,S001385.l.r.m.c.lib.g.k2.a.t,F1546
45,53.741669071735146,12.258330928264854,0.0005781992539425202,0.004599128947170517,False,scarHRD_score,PD31105a,S001485.l.r.m.c.lib.g.k2.a.t,F144
46,48.36912094499134,43.63087905500866,0.009191359134807592,0.005757594613789192,False,scarHRD_score,PD31106a,S001506.l.r.m.c.lib.g.k2.a.t,F761
47,49.67267883324077,29.327321166759234,0.0036307682278724856,0.005041139241984807,False,scarHRD_score,PD31107a,S001523.l.r.m.c.lib.g.k2.a.t,F2856
48,59.7066301075931,-8.7066301075931,0.0005670144822763619,0.008863908294838246,False,scarHRD_score,PD31108a,S001554.l.r.m.c.lib.g.k2.a.t,F763
49,55.0090885249592,-22.009088524959203,0.002034781097736003,0.005016605556501138,False,scarHRD_score,PD31109a,S001555.l.r.m.c.lib.g.k2.a.t,F766
50,56.125970581836796,-29.125970581836796,0.003984769684790957,0.005603077940693272,False,scarHRD_score,PD31111a,S002101.l.r.m.c.lib.g2.k2.a.t,F2871
51,58.48581885376925,8.514181146230747,0.00045850227231443967,0.007515670753357461,False,scarHRD_score,PD31112a,S002117.l.r.m2.c.lib.g.k2.a.t,F785
52,52.91596602263839,-26.915966022638393,0.002708052486875164,0.004469010867638402,False,scarHRD_score,PD31113a,S002156.l.r.m.c.lib.g.k2.a.t,F1592
53,50.773864222663256,8.226135777336744,0.0002634731232261667,0.004653268059759282,False,scarHRD_score,PD31116a,S002286.l.r.m.c.lib.g.k2.a.t,F797
54,52.24637204040817,-49.24637204040817,0.009017615372164101,0.004445676517434382,False,scarHRD_score,PD31117a,S002296.l.r.m.c.lib.g.k2.a.t,F801
55,46.835788922645776,-6.835788922645776,0.00027328934794744133,0.006957382807906308,False,scarHRD_score,PD31120a,S002338.l.r.m.c.lib.g.k2.a.t,F205
56,42.56975012290751,29.430249877092493,0.00907243358374536,0.012326157481331226,False,scarHRD_score,PD31121a,S002368.l.r.m.c.lib.g2.k2.a.t,F807
