F_expression_column,candidate_mean_z,candidate_median_z,HORMAD1_z,HORMAD2_z,STAG3_z,REC8_z,SMC1B_z,SYCP2_z,SYCP3_z,MSH4_z,MSH5_z,proliferation_mean_z,previous_proliferation_mean_z,BRCA1_comparison_z,BRCA2_comparison_z,PALB2_comparison_z,RAD51_comparison_z,RAD51B_comparison_z,RAD51C_comparison_z,RAD51D_comparison_z,BRIP1_comparison_z,ATM_comparison_z,CHEK2_comparison_z,STAG2_comparison_z,RAD21_comparison_z,SMC1A_comparison_z,PD_ID,RBA
F2718,0.702990970215579,0.760806757637355,1.302397198566595,0.760806757637355,-1.0372309156736492,-0.073125913358797,2.1706281607562983,-0.5528084599021712,2.6182929268003656,-0.7865566889207083,1.9245156660349225,0.8180666503189351,0.565987569835481,-2.362459917586948,0.8523343411573027,1.5243817173313758,0.5577918885599478,-0.1475408933965143,1.6786385361423886,-0.9929663541545193,1.0866096898069781,-1.1382706590360596,0.1356939919566449,0.8736038880776464,0.3048890708629551,-0.06899841898737752,PD31043a,S000516.l.r.m.c.lib.g.k2.a.t
F615,0.3250784888968597,0.0005988320896828016,0.683327176051258,-0.40814267607370014,-1.0334206287330894,-0.7562365213835651,0.4138014893887965,0.0005988320896828016,2.0625106936469924,-0.12018301502012613,2.0834510501054884,0.5902973899843232,0.65772633337177,-1.7116924362142507,2.248601684130794,0.29821154251784093,0.8154057649827223,-1.7911770482341574,0.8224917723504042,-0.9418910841986006,1.2856302453161492,-1.575702658954357,1.2183564742125532,0.10284405891322013,-0.30241576252543306,0.7615860539856923,PD31044a,S000517.l.r.m.c.lib.g.k2.a.t
F621,-0.1849173297399556,-0.2720136350009936,0.4093238945498592,-0.40814267607370014,1.7337574964126907,-0.2720136350009936,-0.8146937545554934,-1.7458108708978273,0.39846951864143326,-0.7865566889207083,-0.17858925181486082,-0.09333025725608839,0.04159323993652608,0.11399465985818305,0.29367912734349755,-0.583204798788908,0.6128171753040131,-0.8931404385334807,-0.4078458961483138,0.040919558953064226,-1.831646218942358,1.0329481654149688,0.6477185383263463,-1.0590190936355905,-0.9813990787285262,0.8022713844129455,PD31045a,S000518.l.r.m.c.lib.g.k2.a.t
F48,0.4638102220604302,0.5206723649630876,0.5206723649630876,2.1360935284880562,-1.4029267119597035,-1.145158247987647,1.8440554508192715,1.3700152437549253,0.8924191182187452,-0.1545033177215094,0.11362456996864648,0.8318772744295593,0.40210460664609327,0.8705059881918048,0.08452229203168976,1.1721248700215863,0.7220073667989199,2.303263003815567,0.5202508427323179,1.235151196111457,0.8738171530240785,-1.6501227093352162,0.261486374914226,1.2076440860687576,0.03733551765660493,0.20183009283433856,PD31046a,S000581.l.r.m.c.lib.g.k2.a.t
F1438,-0.29602319461667,-0.41320045649594744,-1.328952682033072,-0.40814267607370014,-0.9656962337300722,0.9587878192154675,-1.077834924684386,1.5139662770963473,-0.41320045649594744,-0.09012870537775801,-0.8530071694669086,0.4018054550784653,0.29877331371874444,0.27977257793702626,-0.6246174601511111,-0.12039073181600085,-1.3051484004958416,0.5416337830047797,0.18445482388967066,-0.6314205210051861,-0.7579857671607385,-1.453047507388864,-0.5684803260455358,1.2828184481795026,0.6852617035015691,-0.2527804886013325,PD31047a,S000590.l.r.m2.c.lib.g.k2.a.t
F73,0.24919501932131333,0.20921538587714528,0.9601328786732148,-0.40814267607370014,-0.6005148159367656,0.20921538587714528,0.45235881312843124,0.993816473395126,-0.23460733828624097,1.1799075599372915,-0.3094111068226822,-0.9615015464281336,-1.1977983787857995,-0.862103275127387,0.3619375777393652,-0.5483426044261664,-1.1844054405906566,2.482439233645539,-0.5254454605996319,-0.6727548326286165,-0.3236681819897879,0.3509046901509309,-0.4483264754342712,0.37364817248562626,0.59234689629465,-1.1555544281480612,PD31051a,S000628.l.r.m.c.lib.g2.k2.a.t
F49,-0.7765302096721893,-0.7865566889207083,-1.1460209691206835,-0.40814267607370014,-1.1119388515123565,-1.3851335777617257,0.9900861546748586,-1.6666268575773795,-0.7757324879624263,-0.7865566889207083,-0.6987059327955814,-0.3668420330674163,-0.29203558120642953,-0.2581711115796069,-0.8459021316346488,-0.5595739745154488,0.14976078669768295,-0.17919671935727402,-0.9494840989717911,-0.5819714716440347,-1.8767269509786937,-1.0660418192892347,-0.011560625961297488,-0.6961629255767087,-1.5481405074190662,-0.7179586878470664,PD31053a,S000689.l.r.m.c.lib.g2.k2.a.t
F96,-0.023898024618583726,-0.12913558720120152,0.8148125606227445,-0.40814267607370014,-0.12913558720120152,-0.31399952399507075,0.6423394489670741,0.6106693008650343,0.03974287299717664,-0.7865566889207083,-0.6848119288286024,-0.17221817023102612,-0.11824221961591506,0.07552181895246098,-0.5341523517527101,-1.544764641228506,-0.4509792275572548,1.1692759890526125,-3.3538936271549575,-0.22474983119148348,0.392894318352103,-1.3478258913928434,-0.9489325819654542,-1.605177593914554,0.199682711684702,-0.3236637859046106,PD31056a,S000800.l.r.m.c.lib.g.k2.a.t
F1473,0.9151173110751346,0.6642473334341398,0.6852335491897378,4.247729518985748,0.6507066710128553,1.0275069222807867,0.6642473334341398,0.37907805238957715,0.49165046296209636,-0.7865566889207083,0.8764599783419789,0.6038842054208725,0.13283479349287003,0.8344745829368027,-0.5116351317764783,-0.16681063695881396,-0.1831276078808902,1.1408650841968966,-1.2635032158663033,0.4307799980634809,0.10267171536383013,-0.6260549421602759,1.010192866206728,0.25518726931810326,-0.06634775568876537,-0.8131226090013559,PD31057a,S000802.l.r.m.c.lib.g.k2.a.t
F1469,-0.0455740008591095,-0.40814267607370014,1.0674375169870562,-0.40814267607370014,-0.8050710802298725,-0.8758776481129039,0.21418204156480355,0.749520271365524,-1.2754952147946232,-0.7865566889207083,1.7098374704824386,-0.452398060709204,-0.7430117264714771,0.8083749224426156,0.11544732040747706,1.4763880219881436,-0.027289505103224077,2.173941820162366,-0.5460835549637649,-0.058771009580994016,-0.3437287622031325,0.4756394873773618,-0.17449899065954202,0.8193170045223459,0.23335756878066452,-0.5207329428786347,PD31058a,S000814.l.r.m.c.lib.g.k2.a.t
