gene,mean,variance,fraction_FPKM_ge_0_1
ABHD1,-1.678935180664813,0.7370746128173213,0.7511111111111111
ABHD10,2.8479045304241106,0.19816379124934766,1.0
ABHD11,4.335893309036346,0.847419375123691,1.0
ABHD12,5.146411722647942,0.19975827802284202,1.0
ABHD12B,-2.637378208332972,0.7573472349794732,0.2222222222222222
ABHD13,2.0675904858507614,0.2657704928792274,1.0
ABHD14A,2.956587426153318,0.25836607133614226,1.0
ABHD14B,4.4441996084880655,0.44240740582702004,1.0
ABHD15,2.3444398353150597,0.3145643992809283,1.0
ABHD16A,4.64440327777384,0.2020126600801739,1.0
ABHD16B,2.0841803374583843,0.39775181437445517,1.0
ABHD17A,5.2752033599606065,0.1611391488888517,1.0
ABHD17B,2.5679849097384952,0.22918548122074295,1.0
ABHD17C,3.4988590429421023,0.6825309013684155,1.0
ABHD2,4.127772083133973,0.3816291637337262,1.0
ABHD3,3.2902577460395284,0.5797320972733747,1.0
ABHD4,3.5888427721875678,0.5806787313693429,1.0
ABHD5,2.5994935970807407,0.3021295591820183,1.0
ABHD6,1.545216733476976,0.7687464390644273,1.0
ABHD8,3.3816601697845776,0.4705900281313123,1.0
ABI1,4.602233814015916,0.2227876875186324,1.0
ABI2,2.9970263593183137,0.4039714300291478,1.0
ABI3,2.7704422919686356,0.5144734980242571,1.0
ABI3BP,2.01051193955193,2.5332459946111907,0.9955555555555555
ABL1,3.928528558572279,0.20734104227840153,1.0
ABL2,2.171244652286486,0.2941531868720156,1.0
ABLIM1,3.913913998246105,0.6680765606482986,1.0
ABLIM2,0.19329906652188528,0.8849336582377945,1.0
ABLIM3,1.2784833292629598,1.930069914520743,1.0
ABO,-1.1318941655985884,2.157845161817006,0.7555555555555555
abParts,8.514228177140593,5.396021355228996,1.0
ABR,3.8532889636416723,0.30480942820578744,1.0
ABRA,-3.2473940302615474,0.01709585535439459,0.0
ABRACL,6.2992010497312245,0.5645034799839411,1.0
ABT1,4.131221423701997,0.23543622239977538,1.0
ABTB1,3.1079191964058026,0.2649865117890272,1.0
ABTB2,1.873712140374773,1.1899985749656652,1.0
AC000099.1,-2.9575499709083592,0.13783520344350159,0.06222222222222222
AC000124.1,-3.065899378596904,0.3548305626395773,0.09333333333333334
AC002398.5,-3.216030606961351,0.1517131945469977,0.017777777777777778
AC002454.1,-1.0755212086030017,2.449458052396558,0.8088888888888889
AC002463.3,-3.1813161499245144,0.07049029195729971,0.017777777777777778
AC002480.3,-2.446230829163837,0.33986063693967367,0.3466666666666667
AC002511.1,-2.8349430571500083,0.07835092089267694,0.04
AC003051.1,-2.9538910206907465,0.18926857427737642,0.08888888888888889
AC003665.1,-0.5080995595373037,0.38900139997806693,1.0
AC003958.2,-3.106089362381725,0.16401569043318534,0.04
